,nom,public_prive,commune,departement,ips,taux_mention_bien+
0,GRAN MAN DIFOU,PUBLIC,MARIPASOULA,GUYANE,49.1,17.7
1,PAUL JEAN-LOUIS,PUBLIC,SAINT-LAURENT-DU-MARONI,GUYANE,51.8,13.3
2,MA AIYE,PUBLIC,APATOU,GUYANE,53.4,15.0
3,LEODATE VOLMAR,PUBLIC,SAINT-LAURENT-DU-MARONI,GUYANE,53.6,13.5
4,ACHMAT KARTADINAMA,PUBLIC,GRAND-SANTI,GUYANE,54.9,6.9
5,CAPITAINE CHARLES TAFANIER,PUBLIC,PAPAICHTON,GUYANE,55.1,12.0
6,COSTA-GAVRAS,PUBLIC,LE MANS,SARTHE,56.5,36.9
7,ZAKIA MADI,PUBLIC,DEMBENI,MAYOTTE,56.9,21.2
8,MADAME DE SEVIGNE,PUBLIC,ROUBAIX,NORD,58.2,23.8
9,FREDERIC D'ACHERY,PUBLIC,KOUNGOU,MAYOTTE,58.4,18.6
10,GERARD PHILIPE,PUBLIC,SOISSONS,AISNE,58.5,20.8
11,JEAN LE TOULLEC,PUBLIC,LE PORT,LA REUNION,58.7,31.4
12,MICHELLE PALLET,PUBLIC,ANGOULEME,CHARENTE,59.0,35.1
13,LES HAUTS DE BLEMONT,PUBLIC,METZ,MOSELLE,59.2,45.2
14,ARTHUR RIMBAUD,PUBLIC,MARSEILLE 15E  ARRONDISSEMENT,BOUCHES-DU-RHONE,59.2,30.6
15,PAULE BERTHELOT,PUBLIC,MANA,GUYANE,59.3,21.0
16,HENRI WALLON,PUBLIC,MARSEILLE 14E  ARRONDISSEMENT,BOUCHES-DU-RHONE,59.3,34.2
17,JULES VALLES,PUBLIC,SAINT-ETIENNE,LOIRE,59.5,24.7
18,JEAN-BAPTISTE LEBAS,PUBLIC,ROUBAIX,NORD,59.6,28.6
19,L'OASIS,PUBLIC,LE PORT,LA REUNION,59.8,27.7
20,BAKARI KUSU,PUBLIC,BANDRABOUA,MAYOTTE,59.8,16.4
21,ARSENE BOUYER D'ANGOMA,PUBLIC,SAINT-LAURENT-DU-MARONI,GUYANE,60.0,21.3
